,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
122,47.79,-34.6534,-58.6198,61,8.01,82,AR,1627433712,moron
123,61.09,53.5536,-3.0682,90,13.73,100,GB,1627433712,formby
124,79.77,14.3122,121.1114,91,16.24,100,PH,1627433615,santa rosa
125,57.49,-33.918,25.5701,88,16.11,0,ZA,1627433532,port elizabeth
126,94.24,37.7397,-121.4252,30,4.0,0,US,1627433667,tracy
127,69.55,14.2,24.6667,75,2.71,100,SD,1627433675,kutum
128,84.34,-3.6954,128.1814,89,3.44,40,ID,1627433291,ambon
129,45.52,60.7167,-46.0333,76,0.76,100,GL,1627433406,qaqortoq
130,78.98,62.1444,117.6319,45,4.47,7,RU,1627433713,suntar
131,52.72,62.2266,-6.589,97,5.99,100,FO,1627433399,klaksvik
132,65.5,38.7992,-9.4469,76,19.77,0,PT,1627433713,colares
133,77.83,15.85,-97.0667,69,6.91,75,MX,1627433616,puerto escondido
134,73.33,-18.9689,-49.465,33,1.68,55,BR,1627433714,ituiutaba
135,60.22,-35.1667,173.1667,77,8.01,49,NZ,1627433534,ahipara
136,75.34,46.5389,138.3297,73,4.97,26,RU,1627433714,svetlaya
137,83.25,17.9358,-76.4573,86,4.05,100,JM,1627433715,seaforth
138,71.6,-8.8368,13.2343,88,4.61,75,AO,1627433663,luanda
139,80.17,9.4942,50.8122,51,28.81,37,SO,1627433664,bandarbeyla
140,80.56,31.1661,112.5831,83,17.11,36,CN,1627433715,anlu
141,61.61,-28.783,32.0377,69,15.41,1,ZA,1627432935,richards bay
142,52.83,-46.1333,167.6833,66,1.72,13,NZ,1627433645,tuatapere
143,81.75,10.5669,72.642,78,19.35,100,IN,1627433479,kavaratti
144,47.28,70.0744,29.7487,88,6.53,100,NO,1627433716,vadso
145,79.36,19.7297,-155.09,80,8.05,90,US,1627433716,hilo
146,52.09,68.0531,39.5131,79,4.65,100,RU,1627433418,ostrovnoy
147,74.37,47.6469,53.3463,26,8.7,100,KZ,1627433716,makat
148,65.86,51.7492,107.2837,72,0.0,7,RU,1627433672,ivolginsk
149,77.79,15.1333,-23.2167,79,11.92,97,CV,1627433717,vila do maio
150,67.12,28.6585,-17.9182,83,14.97,90,ES,1627433717,los llanos de aridane
